what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1337038633115
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.bugzilla.core",1337038633116
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1337038633116
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1337038633117
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1337038633117
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110523-1700,"org.eclipse.team.svn.core",1337038633118
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1337038633119
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1337038633126
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110523-1700,"org.eclipse.team.svn.ui",1337038633127
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110523-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1337038633127
os,sysinfo,,,"macosx",1337038633130
arch,sysinfo,,,"x86_64",1337038633130
ws,sysinfo,,,"cocoa",1337038633130
locale,sysinfo,,,"en_US",1337038633130
processors,sysinfo,,,"2",1337038633130
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337038633130
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1337038633130
java.specification.name,sysinfo,,,"Java Platform API Specification",1337038633130
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337038633130
java.specification.version,sysinfo,,,"1.6",1337038633130
java.vendor,sysinfo,,,"Apple Inc.",1337038633130
java.version,sysinfo,,,"1.6.0_31",1337038633130
java.vm.info,sysinfo,,,"mixed mode",1337038633130
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337038633130
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337038633130
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337038633130
java.vm.specification.version,sysinfo,,,"1.0",1337038633130
java.vm.vendor,sysinfo,,,"Apple Inc.",1337038633130
java.vm.version,sysinfo,,,"20.6-b01-415",1337038633130
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1337038633154
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1337038634629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337038641258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337038651882
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1337038657902
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1337038658041
